Id,Activity
1,SITTING
2,SITTING
3,SITTING
4,SITTING
5,SITTING
6,SITTING
7,SITTING
8,SITTING
9,SITTING
10,SITTING
11,SITTING
12,SITTING
13,SITTING
14,SITTING
15,SITTING
16,SITTING
17,SITTING
18,SITTING
19,SITTING
20,SITTING
21,SITTING
22,SITTING
23,SITTING
24,SITTING
25,SITTING
26,SITTING
27,SITTING
28,SITTING
29,SITTING
30,SITTING
31,SITTING
32,SITTING
33,SITTING
34,SITTING
35,SITTING
36,SITTING
37,SITTING
38,SITTING
39,SITTING
40,SITTING
41,SITTING
42,SITTING
43,SITTING
44,SITTING
45,SITTING
46,SITTING
47,SITTING
48,SITTING
49,SITTING
50,SITTING
51,SITTING
52,SITTING
53,SITTING
54,SITTING
55,SITTING
56,SITTING
57,SITTING
58,SITTING
59,SITTING
60,SITTING
61,SITTING
62,SITTING
63,SITTING
64,SITTING
65,SITTING
66,SITTING
67,SITTING
68,SITTING
69,SITTING
70,SITTING
71,SITTING
72,SITTING
73,SITTING
74,SITTING
75,SITTING
76,SITTING
77,SITTING
78,SITTING
79,SITTING
80,SITTING
81,SITTING
82,SITTING
83,SITTING
84,SITTING
85,SITTING
86,SITTING
87,SITTING
88,SITTING
89,SITTING
90,SITTING
91,SITTING
92,SITTING
93,SITTING
94,SITTING
95,SITTING
96,SITTING
97,SITTING
98,SITTING
99,SITTING
100,SITTING
101,SITTING
102,SITTING
103,SITTING
104,SITTING
105,SITTING
106,SITTING
107,SITTING
108,SITTING
109,SITTING
110,SITTING
111,SITTING
112,SITTING
113,SITTING
114,SITTING
115,SITTING
116,SITTING
117,SITTING
118,SITTING
119,SITTING
120,SITTING
121,SITTING
122,SITTING
123,SITTING
124,SITTING
125,SITTING
126,SITTING
127,SITTING
128,SITTING
129,SITTING
130,SITTING
131,SITTING
132,SITTING
133,SITTING
134,SITTING
135,SITTING
136,SITTING
137,SITTING
138,SITTING
139,SITTING
140,SITTING
141,SITTING
142,SITTING
143,SITTING
144,SITTING
145,SITTING
146,SITTING
147,SITTING
148,SITTING
149,SITTING
150,SITTING
151,SITTING
152,SITTING
153,SITTING
154,SITTING
155,SITTING
156,SITTING
157,SITTING
158,SITTING
159,SITTING
160,SITTING
161,SITTING
162,SITTING
163,SITTING
164,SITTING
165,SITTING
166,SITTING
167,SITTING
168,SITTING
169,SITTING
170,SITTING
171,SITTING
172,SITTING
173,SITTING
174,SITTING
175,SITTING
176,SITTING
177,SITTING
178,SITTING
179,SITTING
180,SITTING
181,SITTING
182,SITTING
183,SITTING
184,SITTING
185,SITTING
186,SITTING
187,SITTING
188,SITTING
189,SITTING
190,SITTING
191,SITTING
192,SITTING
193,SITTING
194,SITTING
195,SITTING
196,SITTING
197,SITTING
198,SITTING
199,SITTING
200,SITTING
201,SITTING
202,SITTING
203,SITTING
204,SITTING
205,SITTING
206,SITTING
207,SITTING
208,SITTING
209,SITTING
210,SITTING
211,SITTING
212,SITTING
213,SITTING
214,SITTING
215,SITTING
216,SITTING
217,SITTING
218,SITTING
219,SITTING
220,SITTING
221,SITTING
222,SITTING
223,SITTING
224,SITTING
225,SITTING
226,SITTING
227,SITTING
228,SITTING
229,SITTING
230,SITTING
231,SITTING
232,SITTING
233,SITTING
234,SITTING
235,SITTING
236,SITTING
237,SITTING
238,SITTING
239,SITTING
240,SITTING
241,SITTING
242,SITTING
243,SITTING
244,SITTING
245,SITTING
246,SITTING
247,SITTING
248,SITTING
249,SITTING
250,SITTING
251,SITTING
252,SITTING
253,SITTING
254,SITTING
255,SITTING
256,SITTING
257,SITTING
258,SITTING
259,SITTING
260,SITTING
261,SITTING
262,SITTING
263,SITTING
264,SITTING
265,SITTING
266,SITTING
267,SITTING
268,SITTING
269,SITTING
270,SITTING
271,SITTING
272,SITTING
273,SITTING
274,SITTING
275,SITTING
276,SITTING
277,SITTING
278,SITTING
279,SITTING
280,SITTING
281,SITTING
282,SITTING
283,SITTING
284,SITTING
285,SITTING
286,SITTING
287,SITTING
288,SITTING
289,SITTING
290,SITTING
291,SITTING
292,SITTING
293,SITTING
294,SITTING
295,SITTING
296,SITTING
297,SITTING
298,SITTING
299,SITTING
300,SITTING
301,SITTING
302,SITTING
303,SITTING
304,SITTING
305,SITTING
306,SITTING
307,SITTING
308,SITTING
309,SITTING
310,SITTING
311,SITTING
312,SITTING
313,SITTING
314,SITTING
315,SITTING
316,SITTING
317,SITTING
318,SITTING
319,SITTING
320,SITTING
321,SITTING
322,SITTING
323,SITTING
324,SITTING
325,SITTING
326,SITTING
327,SITTING
328,SITTING
329,SITTING
330,SITTING
331,SITTING
332,SITTING
333,SITTING
334,SITTING
335,SITTING
336,SITTING
337,SITTING
338,SITTING
339,SITTING
340,SITTING
341,SITTING
342,SITTING
343,SITTING
344,SITTING
345,SITTING
346,SITTING
347,SITTING
348,SITTING
349,SITTING
350,SITTING
351,SITTING
352,SITTING
353,SITTING
354,SITTING
355,SITTING
356,SITTING
357,SITTING
358,SITTING
359,SITTING
360,SITTING
361,SITTING
362,SITTING
363,SITTING
364,SITTING
365,SITTING
366,SITTING
367,SITTING
368,SITTING
369,SITTING
370,SITTING
371,SITTING
372,SITTING
373,SITTING
374,SITTING
375,SITTING
376,SITTING
377,SITTING
378,SITTING
379,SITTING
380,SITTING
381,SITTING
382,SITTING
383,SITTING
384,SITTING
385,SITTING
